"Activity Period","Operating Airline","Operating Airline IATA Code","Published Airline","Published Airline IATA Code","GEO Summary","GEO Region","Activity Type Code","Price Category Code","Price Category Code_extracted",Terminal,"Boarding Area","Passenger Count"
201011,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Mexico,"Thru / Transit",Other,,International,G,5
200805,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,5
200706,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Canada,"Thru / Transit",Other,,"Terminal 3",F,5
200705,Ameriflight,A8,Ameriflight,A8,Domestic,US,Enplaned,Other,,Other,Other,5
200702,Ameriflight,A8,Ameriflight,A8,Domestic,US,Enplaned,Other,,Other,Other,5
200606,Ameriflight,A8,Ameriflight,A8,Domestic,US,Enplaned,Other,,Other,Other,5
200606,Ameriflight,A8,Ameriflight,A8,Domestic,US,Deplaned,Other,,Other,Other,5
200605,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Canada,"Thru / Transit",Other,,"Terminal 3",F,5
201702,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",E,6
201612,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",E,6
201506,"United Airlines",UA,"United Airlines",UA,International,Mexico,"Thru / Transit",Other,,International,G,6
200909,Aeromexico,AM,Aeromexico,AM,International,Mexico,Deplaned,Other,,International,G,6
200808,Ameriflight,A8,Ameriflight,A8,Domestic,US,Enplaned,Other,,Other,Other,6
201511,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,7
201502,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,International,G,7
200901,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,7
200807,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,7
200803,Ameriflight,A8,Ameriflight,A8,Domestic,US,Enplaned,Other,,Other,Other,7
200801,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,7
200707,Ameriflight,A8,Ameriflight,A8,Domestic,US,Enplaned,Other,,Other,Other,7
200608,Ameriflight,A8,Ameriflight,A8,Domestic,US,Enplaned,Other,,Other,Other,7
201707,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",E,8
200711,Ameriflight,A8,Ameriflight,A8,Domestic,US,Deplaned,Other,,Other,Other,8
200609,Ameriflight,A8,Ameriflight,A8,Domestic,US,Deplaned,Other,,Other,Other,8
200605,Ameriflight,A8,Ameriflight,A8,Domestic,US,"Thru / Transit",Other,,Other,Other,8
201805,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",F,9
201502,"United Airlines",UA,"United Airlines",UA,International,Mexico,"Thru / Transit",Other,,International,G,9
200704,Ameriflight,A8,Ameriflight,A8,Domestic,US,Enplaned,Other,,Other,Other,9
200609,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Canada,"Thru / Transit",Other,,"Terminal 3",F,9
201809,"United Airlines",UA,"United Airlines",UA,Domestic,US,"Thru / Transit",Other,,"Terminal 3",E,10
201803,"WOW Air",WW,"WOW Air",WW,International,Europe,Enplaned,Other,,International,G,10
201608,"Air Pacific Limited dba Fiji Airways",FJ,"Air Pacific Limited dba Fiji Airways",FJ,International,"Australia  Oceania",Deplaned,"Low Fare","Low Fare",International,G,10
201507,"United Airlines",UA,"United Airlines",UA,International,Canada,"Thru / Transit",Other,,International,G,10
201404,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,10
200906,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,10
200811,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,10
200810,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,10
200808,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,10
200806,"Southwest Airlines",WN,"Southwest Airlines",WN,Domestic,US,"Thru / Transit","Low Fare","Low Fare","Terminal 1",B,10
200701,Ameriflight,A8,Ameriflight,A8,Domestic,US,Enplaned,Other,,Other,Other,10
200509,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Canada,"Thru / Transit",Other,,"Terminal 3",F,10
200507,"United Airlines - Pre 07/01/2013",UA,"United Airlines - Pre 07/01/2013",UA,International,Canada,"Thru / Transit",Other,,"Terminal 3",F,10
201804,"Hong Kong Airlines Limited",HX,"Hong Kong Airlines Limited",HX,International,Asia,"Thru / Transit",Other,,International,A,11
201801,"WOW Air",WW,"WOW Air",WW,International,Europe,Enplaned,Other,,International,G,11
201703,"United Airlines",UA,"United Airlines",UA,International,Canada,"Thru / Transit",Other,,International,G,11
